Country,Male Including NMSC Rate,Female Including NMSC Rate,Female Including NMSC Number,Male Excluding NMSC Rate,Male Excluding NMSC Number,Male Including NMSC Number,Female Excluding NMSC Number,Female Excluding NMSC Rate
Fiji,80.3,117,541,79.7,323,324,540,116.6
Peru,79.8,86.2,"19,144",78.9,"16,590","16,790","18,960",85.6
Cameroon,79.7,95.8,"7,486",78.8,"5,253","5,312","7,433",95
Bolivia,79.5,91.2,"6,057",78.7,"4,904","4,958","6,004",90.7
Benin,79.4,67.6,"2,599",78.7,"2,444","2,470","2,574",66.9
Madagascar,78.9,89.2,"8,222",77.3,"5,937","6,048","8,097",87.8
Sao Tome and Principe,78.6,60.1,42,78.6,48,48,42,60.1
Somalia,78.1,112.6,"4,934",76.1,"3,032","3,104","4,854",110.6
Lesotho,78,90.9,904,75.4,496,507,893,90
Ghana,77.6,87.8,"9,856",77,"8,022","8,088","9,816",87.4
Uzbekistan,77.5,67.3,"11,328",77,"10,669","10,743","11,259",66.9
Liberia,76.6,91.9,"1,593",75.6,"1,122","1,137","1,577",90.8
Central African Republic,76.5,85.2,"1,202",75.5,811,821,"1,192",84.4
Ecuador,75.9,77.1,"8,500",74.8,"7,537","7,658","8,366",76.1
Eswatini,75.9,110.9,466,74.1,226,231,460,109.1
Cape Verde,75.7,48.8,136,75.7,149,149,136,48.8
DR Congo,75.2,78.6,"20,748",74.6,"16,700","16,827","20,618",78.1
Oman,75.2,57.4,751,74.6,"1,501","1,510",748,57.2
Togo,74.7,74.4,"1,982",73.1,"1,583","1,623","1,944",72.8
Senegal,74.2,88.1,"5,023",73,"3,063","3,111","4,962",86.9
Bhutan,72.4,61.2,200,71.7,278,280,200,61.2
Mauritius,71.5,63.9,754,71.5,715,715,754,63.9
Panama,71,61.9,"1,807",70.4,"1,947","1,963","1,793",61.5
Solomon Islands,70.8,78.4,199,70.8,166,166,199,78.4
Tajikistan,70.7,58.3,"2,076",70.2,"2,135","2,149","2,068",58.1
Botswana,70.2,64.8,725,68.9,542,552,716,63.9
South Sudan,69.8,83.3,"2,938",68.5,"2,109","2,143","2,901",82.1
Vanuatu,69.8,65.2,74,69.8,77,77,74,65.2
Pakistan,68.8,70.8,"59,697",67,"57,456","58,934","58,838",69.7
Maldives,68.5,48.8,91,68.5,150,150,91,48.8
Nigeria,68.4,81.4,"46,637",67,"32,271","32,905","46,040",80.3
Guatemala,68.4,73.6,"5,825",67.3,"4,465","4,544","5,742",72.7
Guinea-Bissau,67.9,84.3,526,66.8,318,323,520,83.2
Sri Lanka,67.8,52.6,"9,325",67.1,"9,724","9,820","9,268",52.3
Mauritania,67.4,82.6,"1,326",66.5,896,908,"1,311",81.6
Rwanda,67,55.8,"2,563",66.4,"2,304","2,324","2,529",54.9
India,66.5,62.6,"446,772",66,"466,780","470,055","445,013",62.4
Mexico,66.5,61.4,"49,795",65.7,"45,831","46,415","49,334",61
Comoros,65.9,85.2,251,65,165,167,251,85.2
El Salvador,65.1,64.6,"3,002",64.5,"2,268","2,290","2,971",64.1
Equatorial Guinea,64.7,82.6,310,63.5,275,279,308,81.9
Guyana,64.7,76.6,341,64.7,271,271,341,76.6
Gambia,64.4,61,459,64.4,440,440,459,61
Yemen,63.8,64.5,"6,339",62.5,"5,419","5,515","6,307",64.1
Niger,63.3,69.1,"4,758",61.8,"3,958","4,048","4,670",67.6
Gabon,62.8,76.8,614,62.3,477,480,611,76.3
Belize,62.2,57.2,105,62.2,106,106,105,57.2
Congo,59.2,50.3,917,59.2,814,815,915,50.2
Bahrain,59.1,62.8,295,59.1,312,312,295,62.8
Eritrea,59,84.9,"1,072",57.8,641,652,"1,056",83.6
East Timor,59,53,255,59,262,262,255,53
Sudan,58.7,69.7,"10,503",57.3,"7,839","8,001","10,377",68.8
Nepal,58.1,52.5,"7,768",57.6,"6,881","6,936","7,719",52.2
Kuwait,58,65.9,870,58,"1,097","1,098",870,65.9
Ethiopia,56.5,91.4,"34,967",54.7,"19,200","19,731","34,261",89.3
Djibouti,56.3,78.1,335,55.2,233,237,331,77
United Arab Emirates,48.7,70.3,"1,000",48.1,"1,268","1,283",996,70.1
Saudi Arabia,48.4,45,"5,349",47.9,"7,992","8,050","5,320",44.7
Qatar,40.2,61.8,255,40.1,526,527,255,61.8
Sierra Leone,27.7,24.7,701,27.7,633,633,701,24.7
